Jan 20, 2017  12:36:48 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 28.20,   8.06E-006, 
 28.30,   6.68E-006, 
 28.40,   5.36E-006, 
 28.50,   7.46E-007, 
 28.60,   5.52E-008, 
 28.70,   3.67E-008, 
 28.80,   6.07E-008, 
 28.90,   1.01E-007, 
 29.00,   1.34E-007, 
 29.10,   1.35E-007, 
 29.20,   1.44E-007, 
 29.30,   1.23E-007, 
 29.40,   1.02E-007, 
 29.50,   3.89E-008, 
 29.60,   1.19E-008, 
 29.70,   6.86E-009, 
 29.80,   6.51E-009, 
 29.90,   8.36E-009, 
 30.00,   1.14E-008, 
 30.10,   1.33E-008, 
 30.20,   1.46E-008, 
 30.30,   1.47E-008, 
 30.40,   1.42E-008, 
 30.50,   1.15E-008, 
 30.60,   1.03E-008, 
 30.70,   1.69E-008, 
 30.80,   3.94E-008, 
 30.90,   7.54E-008, 
 31.00,   1.10E-007, 
 31.10,   1.18E-007, 
 31.20,   1.28E-007, 
 31.30,   1.28E-007, 
 31.40,   1.38E-007, 
 31.50,   1.24E-007, 
 31.60,   1.91E-007, 
 31.70,   4.52E-007, 
 31.80,   8.93E-007, 
 31.90,   1.35E-006, 
 32.00,   1.67E-006, 
 32.10,   1.63E-006, 
 32.20,   1.72E-006, 
 32.30,   1.45E-006, 
 32.40,   1.13E-006, 
 32.50,   2.00E-007, 
 32.60,   2.53E-008, 
 32.70,   1.17E-008, 
 32.80,   1.01E-008, 
 32.90,   1.28E-008, 
 33.00,   1.76E-008, 
 33.10,   2.09E-008, 
 33.20,   2.23E-008, 
 33.30,   2.20E-008, 
 33.40,   1.99E-008, 
 33.50,   1.40E-008, 
 33.60,   6.79E-009, 
 33.70,   3.96E-009, 
 33.80,   3.60E-009, 
 33.90,   4.20E-009, 
 34.00,   5.51E-009, 
 34.10,   6.45E-009, 
 34.20,   7.04E-009, 
 34.30,   6.86E-009, 
 34.40,   6.38E-009, 
 34.50,   4.62E-009, 
 34.60,   2.47E-009, 
 34.70,   1.42E-009, 
 34.80,   6.25E-010, 
 34.90,   2.68E-010, 
 35.00,   2.16E-010, 
 35.10,   1.61E-010, 
 35.20,   1.22E-010, 
 35.30,   1.46E-010, 
 35.40,   2.01E-010, 
 35.50,   1.90E-010, 
 35.60,   1.02E-010, 
 35.70,   1.27E-010, 
 35.80,   2.31E-010, 
 35.90,   2.50E-010, 
 36.00,   3.66E-010, 
 36.10,   4.64E-010, 
 36.20,   4.50E-010, 
 36.30,   5.11E-010, 
 36.40,   5.81E-010, 
 36.50,   4.04E-010, 
 36.60,   2.15E-010, 
 36.70,   1.02E-010, 
 36.80,   7.07E-011, 
 36.90,   8.40E-011, 
 37.00,   1.11E-010, 
 37.10,   2.35E-010, 
 37.20,   2.60E-010, 
 37.30,   2.75E-010, 
 37.40,   2.14E-010, 
 37.50,   2.66E-010, 
 37.60,   2.11E-010, 
 37.70,   1.02E-010, 
 37.80,   1.51E-010, 
 37.90,   1.93E-010, 
 38.00,   4.03E-010, 
 38.10,   6.62E-010, 
 38.20,   1.05E-009, 
 38.30,   4.47E-010, 
 38.40,   5.13E-010, 
 38.50,   4.80E-010, 
 38.60,   4.13E-010, 
 38.70,   3.40E-010, 
 38.80,   8.59E-010, 
 38.90,   1.67E-009, 
 39.00,   2.38E-009, 
 39.10,   3.24E-009, 
 39.20,   4.03E-009, 
 39.30,   4.87E-009, 
 39.40,   5.94E-009, 
 39.50,   7.41E-009, 
 39.60,   1.05E-008, 
 39.70,   2.19E-008, 
 39.80,   5.09E-008, 
 39.90,   9.45E-008, 
 40.00,   1.28E-007, 
 40.10,   1.30E-007, 
 40.20,   1.37E-007, 
 40.30,   1.16E-007, 
 40.40,   9.89E-008, 
 40.50,   3.97E-008, 
 40.60,   1.18E-008, 
 40.70,   5.74E-009, 
 40.80,   3.97E-009, 
 40.90,   4.07E-009, 
 41.00,   5.13E-009, 
 41.10,   6.53E-009, 
 41.20,   7.48E-009, 
 41.30,   7.92E-009, 
 41.40,   7.62E-009, 
 41.50,   6.90E-009, 
 41.60,   4.41E-009, 
 41.70,   2.41E-009, 
 41.80,   1.69E-009, 
 41.90,   1.51E-009, 
 42.00,   1.74E-009, 
 42.10,   2.20E-009, 
 42.20,   2.41E-009, 
 42.30,   2.56E-009, 
 42.40,   2.63E-009, 
 42.50,   2.50E-009, 
 42.60,   1.89E-009, 
 42.70,   1.42E-009, 
 42.80,   1.57E-009, 
 42.90,   2.23E-009, 
 43.00,   3.82E-009, 
 43.10,   5.55E-009, 
 43.20,   6.61E-009, 
 43.30,   7.34E-009, 
 43.40,   7.46E-009, 
 43.50,   7.23E-009, 
 43.60,   5.77E-009, 
 43.70,   5.22E-009, 
 43.80,   7.43E-009, 
 43.90,   1.29E-008, 
 44.00,   2.17E-008, 
 44.10,   2.83E-008, 
 44.20,   3.07E-008, 
 44.30,   3.08E-008, 
 44.40,   2.77E-008, 
 44.50,   2.10E-008, 
 44.60,   9.75E-009, 
 44.70,   4.81E-009, 
 44.80,   3.17E-009, 
 44.90,   2.65E-009, 
 45.00,   3.17E-009, 
 45.10,   4.02E-009, 
 45.20,   4.48E-009, 
 45.30,   4.77E-009, 
 45.40,   4.58E-009, 
 45.50,   4.08E-009, 
 45.60,   2.70E-009, 
 45.70,   1.45E-009, 
 45.80,   1.03E-009, 
 45.90,   9.04E-010, 
 46.00,   5.89E-010, 
 46.10,   1.33E-009, 
 46.20,   1.37E-009, 
 46.30,   1.39E-009, 
 46.40,   1.26E-009, 
 46.50,   1.15E-009, 
 46.60,   7.04E-010, 
 46.70,   3.62E-010, 
 46.80,   3.20E-010, 
 46.90,   3.47E-010, 
 47.00,   4.89E-010, 
 47.10,   9.13E-010, 
 47.20,   1.14E-009, 
 47.30,   1.11E-009, 
 47.40,   1.06E-009, 
 47.50,   1.04E-009, 
 47.60,   4.35E-010, 
 47.70,   2.66E-010, 
 47.80,   2.30E-010, 
 47.90,   1.95E-010, 
 48.00,   3.64E-011, 
 48.10,   2.03E-011, 
 48.20,   1.46E-010, 
 48.30,   1.58E-010, 
 48.40,   1.22E-010, 
 48.50,   1.31E-010, 
 48.60,   5.25E-011, 
 48.70,  -2.24E-011, 
 48.80,   3.01E-011, 
 48.90,   4.06E-011, 
 49.00,   1.04E-010, 
 49.10,   1.75E-010, 
 49.20,   2.30E-010, 
 49.30,   1.65E-010, 
 49.40,   1.13E-010, 
 49.50,   1.84E-010, 
 49.60,   2.38E-010, 
 49.70,   2.21E-010, 
 49.80,   3.05E-010, 
 49.90,   3.81E-010, 
 50.00,   5.55E-010, 
 50.10,   1.37E-009, 
 50.20,   1.56E-009, 
 50.30,   1.69E-009, 
 50.40,   1.66E-009, 
 50.50,   1.58E-009, 
 50.60,   1.33E-009, 
 50.70,   1.25E-009, 
 50.80,   1.67E-009, 
 50.90,   2.64E-009, 
 51.00,   4.59E-009, 
 51.10,   7.14E-009, 
 51.20,   8.64E-009, 
 51.30,   9.71E-009, 
 51.40,   9.28E-009, 
 51.50,   8.61E-009, 
 51.60,   5.94E-009, 
 51.70,   3.13E-009, 
 51.80,   1.81E-009, 
 51.90,   1.36E-009, 
 52.00,   1.04E-009, 
 52.10,   5.74E-010, 
 52.20,   6.08E-010, 
 52.30,   6.04E-010, 
 52.40,   7.18E-010, 
 52.50,   1.05E-009, 
 52.60,   4.28E-010, 
 52.70,   2.23E-010, 
 52.80,   2.39E-010, 
 52.90,   2.78E-010, 
 53.00,   3.96E-010, 
 53.10,   5.95E-010, 
 53.20,   7.17E-010, 
 53.30,   1.13E-009, 
 53.40,   1.04E-009, 
 53.50,   9.80E-010, 
 53.60,   5.46E-010, 
 53.70,   2.28E-010, 
 53.80,   2.84E-010, 
 53.90,   3.31E-010, 
 54.00,   3.65E-010, 
 54.10,   4.85E-010, 
 54.20,   6.27E-010, 
 54.30,   5.81E-010, 
 54.40,   6.23E-010, 
 54.50,   6.46E-010, 
 54.60,   8.24E-010, 
 54.70,   5.34E-010, 
 54.80,   4.91E-010, 
 54.90,   9.45E-010, 
 55.00,   1.37E-009, 
 55.10,   2.15E-009, 
 55.20,   3.08E-009, 
 55.30,   3.62E-009, 
 55.40,   4.07E-009, 
 55.50,   3.98E-009, 
 55.60,   3.52E-009, 
 55.70,   2.25E-009, 
 55.80,   1.38E-009, 
 55.90,   1.02E-009, 
 56.00,   1.06E-009, 
 56.10,   1.40E-009, 
 56.20,   1.88E-009, 
 56.30,   2.18E-009, 
 56.40,   2.42E-009, 
 56.50,   2.40E-009, 
 56.60,   2.32E-009, 
 56.70,   1.64E-009, 
 56.80,   1.20E-009, 
 56.90,   1.29E-009, 
 57.00,   1.89E-009, 
 57.10,   3.17E-009, 
 57.20,   4.58E-009, 
 57.30,   5.61E-009, 
 57.40,   6.27E-009, 
 57.50,   6.21E-009, 
 57.60,   5.58E-009, 
 57.70,   3.99E-009, 
 57.80,   2.36E-009, 
 57.90,   1.45E-009, 
 58.00,   9.89E-010, 
 58.10,   5.64E-010, 
 58.20,   6.25E-010, 
 58.30,   9.85E-010, 
 58.40,   1.02E-009, 
 58.50,   8.31E-010, 
 58.60,   4.23E-010, 
 58.70,   3.47E-010, 
 58.80,   2.84E-010, 
 58.90,   3.12E-010, 
 59.00,   2.77E-010, 
 59.10,   4.15E-010, 
 59.20,   3.90E-010, 
 59.30,   2.70E-010, 
 59.40,   3.61E-010, 
 59.50,   5.19E-010, 
 59.60,   4.96E-010, 
 59.70,   3.62E-010, 
 59.80,   2.20E-010, 
 59.90,   1.21E-010, 
 60.00,   1.18E-010, 
 60.10,   2.02E-010, 
 60.20,   3.24E-010, 
 60.30,   4.40E-010, 
 60.40,   5.15E-010, 
 60.50,   6.17E-010, 
 60.60,   5.16E-010, 
 60.70,   3.78E-010, 
 60.80,   2.50E-010, 
 60.90,   1.53E-010, 
 61.00,   2.42E-010, 
 61.10,   2.08E-010, 
 61.20,   2.75E-010, 
 61.30,   2.44E-010, 
 61.40,   2.07E-010, 
 61.50,   2.49E-010, 
 61.60,   1.92E-010, 
 61.70,   2.56E-010, 
 61.80,   2.06E-010, 
 61.90,   3.07E-010, 
 62.00,   3.35E-010, 
 62.10,   3.40E-010, 
 62.20,   3.89E-010, 
 62.30,   3.43E-010, 
 62.40,   3.79E-010, 
 62.50,   3.66E-010, 
 62.60,   4.39E-010, 
 62.70,   3.66E-010, 
 62.80,   3.79E-010, 
 62.90,   3.17E-010, 
 63.00,   3.88E-010, 
 63.10,   5.60E-010, 
 63.20,   1.17E-009, 
 63.30,   1.31E-009, 
 63.40,   1.32E-009, 
 63.50,   1.40E-009, 
 63.60,   1.21E-009, 
 63.70,   8.82E-010, 
 63.80,   3.61E-010, 
 63.90,   4.22E-010, 
 64.00,   3.68E-010, 
 64.10,   4.01E-010, 
 64.20,   5.27E-010, 
 64.30,   6.02E-010, 
 64.40,   6.50E-010, 
 64.50,   9.82E-010, 
 64.60,   9.01E-010, 
 64.70,   3.47E-010, 
 64.80,   4.30E-010, 
 64.90,   5.54E-010, 
 65.00,   1.25E-009, 
